"timepoint","probability_mass"
0,0
1,0.00469384736487552
2,0.0145200073436112
3,0.0278627741704387
4,0.0423656492135518
5,0.0558071445014868
6,0.0665713169684116
7,0.0737925805176124
8,0.0772854627892072
9,0.0773666390616176
10,0.0746515449009949
11,0.0698761436052596
12,0.0637663813017696
13,0.0569581929821651
14,0.0499600186601535
15,0.0431457477049282
16,0.0367662806214045
17,0.0309702535668237
18,0.0258273785539499
19,0.0213504646948306
20,0.0175141661880584
21,0.0142698211023571
22,0.0115565159519833
23,0.00930888979824423
24,0.00746229206759215
25,0.00595605679409682
26,0.00473519993107751
27,0.00375117728281841
28,0.00296198928038098
29,0.00233187862772459
30,0.00183079868293457
31,0.00143377454057296
32,0.00107076258525208
33,0.000773006742366448
34,0.000539573690886396
35,0.000364177599116743
36,0.000237727628685579
37,0.000150157714457011
38,9.18283319498657e-05
39,5.44079947589854e-05
40,3.12548818921465e-05
41,1.74202619730274e-05
42,9.42698047424713e-06
43,4.95614149002087e-06
44,2.53275674485913e-06
45,1.25854819834554e-06
46,6.08116579596933e-07
47,2.85572858589747e-07
48,1.30129404249734e-07
49,5.73280599448306e-08
50,2.4219376577964e-08
51,9.6316861194457e-09
52,3.43804936850951e-09
53,9.34806280366888e-10
54,0
